,BTC vs SPY,BTC vs QQQ,BTC vs Gold,BTC vs TLT
2018-05-23,0.11826531704838224,0.10854844706632283,-0.07043072270903722,-0.07939751968532509
2018-05-24,0.11777699707791463,0.10765615621654956,-0.07235150816737157,-0.0823860231145078
2018-05-25,0.12071374300146627,0.11089755466256124,-0.07256658974413797,-0.08350367756927535
2018-05-29,0.12073298306649502,0.11153235443843341,-0.06828707668533571,-0.08232326832064103
2018-05-30,0.11824510696439886,0.11085814600583742,-0.06922352523965856,-0.0801608200423629
2018-05-31,0.11820803464458383,0.1112376964422556,-0.07123650130061047,-0.08148645713966388
2018-06-01,0.11539333604940637,0.11005256341458469,-0.0715671566968352,-0.08148991527535601
2018-06-04,0.11444426658593651,0.10794418382929875,-0.07374824271907016,-0.08453661642245978
2018-06-05,0.11556508036732203,0.10884447689025673,-0.07422078656517668,-0.07991178463672176
2018-06-06,0.11725434103659386,0.11071759695836018,-0.08193303208881432,-0.08310600901405321
2018-06-07,0.1179550969346074,0.11183144335308601,-0.08504803738578164,-0.08573034615725779
2018-06-08,0.11772752961617523,0.11188624518415734,-0.08395369376912146,-0.08476132702339632
2018-06-11,0.1165907595579786,0.1117214915921953,-0.08561936186235924,-0.0824379480069489
2018-06-12,0.11595027284636257,0.10797591075937135,-0.08480270552072122,-0.08283898609458382
2018-06-13,0.11658815408102341,0.10755336266987109,-0.08611206103581137,-0.08261946240806854
2018-06-14,0.11630050260376656,0.10753501842570212,-0.0907094911387118,-0.06593476631755968
2018-06-15,0.11638485691677852,0.10781856195554185,-0.08370032091890274,-0.06666646707540858
2018-06-18,0.11552625518179657,0.10796965932688155,-0.08441987837558299,-0.06732263542160132
2018-06-19,0.11430942244714178,0.10629679019091821,-0.08284928517704868,-0.06693274087932854
2018-06-20,0.11731669991251485,0.10880451274370154,-0.08159331195128083,-0.07093614978339217
2018-06-21,0.11772673334331622,0.11049938551791573,-0.08086598576673633,-0.07115461749727592
2018-06-22,0.11609543125999323,0.1118969852111095,-0.0829744089627416,-0.07084869358806345
2018-06-25,0.11274343009447393,0.10744008143741815,-0.08426240175825324,-0.07023500698490297
2018-06-26,0.11297400529693753,0.1039272668774708,-0.09292892832194374,-0.06693486961269461
2018-06-27,0.11434311548692484,0.10666633040075757,-0.09413077185320817,-0.06380000731087994
2018-06-28,0.11218158959939459,0.10429578982741573,-0.0925270489111718,-0.0637809510035534
2018-06-29,0.11127838690384408,0.10319696590491761,-0.09164442108666557,-0.06735655911037584
2018-07-02,0.11217449023821321,0.10494509875215675,-0.09790139880412901,-0.06847079159596721
2018-07-03,0.11250198292733771,0.10833756474360581,-0.09596938332451192,-0.06850886101666834
2018-07-05,0.11285816493389575,0.10851524472654697,-0.09594313649464946,-0.06816446753259478
2018-07-06,0.11270350194002457,0.10805930425277586,-0.0959391073939966,-0.06867911134314987
2018-07-09,0.11487812265846488,0.11083580898844121,-0.10084198005601001,-0.0716198966583708
2018-07-10,0.11344014105556335,0.11316585774466496,-0.09838635021897639,-0.07055920826555988
2018-07-11,0.11272532737407251,0.1131755191582542,-0.09801977126777646,-0.0700037543431019
2018-07-12,0.10930555350690796,0.10832186565766176,-0.10006413911731592,-0.07157688414892924
2018-07-13,0.10952456637471031,0.10851981333961294,-0.10025358801547511,-0.07339234064743397
2018-07-16,0.11046013222981692,0.10938109940076966,-0.09590636398101979,-0.0759137602891164
2018-07-17,0.11221182668810088,0.11142229584998219,-0.10367312229497051,-0.07708570803846945
2018-07-18,0.11230155974720737,0.11035029118599132,-0.10651018936214085,-0.08053505301287142
2018-07-19,0.113137162444971,0.1109130401906986,-0.10678387584662455,-0.07984808456223469
2018-07-20,0.1169641390167062,0.11368909340327128,-0.11460235680455354,-0.0859288354860769
2018-07-23,0.11678529398131975,0.11387646452273628,-0.11168187056149619,-0.08830837646449638
2018-07-24,0.11963750429422677,0.11458655520040714,-0.1110191233468203,-0.08366391723283655
2018-07-25,0.11841350158573445,0.11003126117210138,-0.11567966441453564,-0.09401186088549116
2018-07-26,0.1190786123828629,0.11331697959493982,-0.11066078178917202,-0.09282771212920815
2018-07-27,0.11840012948890036,0.11352346253184911,-0.11030299565085597,-0.08999762810135493
2018-07-30,0.11928674570028343,0.11407749227735704,-0.11443181583831279,-0.09298021140203899
2018-07-31,0.11726722515885352,0.11213193949061163,-0.1161589864361121,-0.0962061270205108
2018-08-01,0.11874138018724785,0.1123580469432445,-0.11446568252211853,-0.08935791424494216
2018-08-02,0.11809886611915334,0.11107034185475832,-0.11373496349293914,-0.08950493315197781
2018-08-03,0.11800620114411016,0.11169754012792814,-0.11515696576349364,-0.0945098545866331
2018-08-06,0.11570343912744935,0.10912997084720168,-0.10912507893271359,-0.09269664733264553
2018-08-07,0.11491788890114944,0.10469292297826488,-0.10969108662855824,-0.09408615895883732
2018-08-08,0.11548279572580898,0.10446461425761187,-0.11191719844913976,-0.09443978690416766
2018-08-09,0.11463442832303358,0.10366141377534367,-0.10968580372885028,-0.08906484417213868
2018-08-10,0.11976165107442097,0.10870661346830883,-0.11026361985207217,-0.09471954140164834
2018-08-13,0.11902576576451046,0.10579336344190698,-0.11584495940671179,-0.09575250586698865
2018-08-14,0.1061714775146392,0.09344238258003844,-0.10484999341917964,-0.08681309175720288
2018-08-15,0.10478872735469441,0.09192340591101805,-0.10926099776530421,-0.08754981462436809
2018-08-16,0.10437050591713473,0.0918098628130072,-0.11339914763998755,-0.08951548184004768
2018-08-17,0.10413377633219371,0.0904600646962044,-0.10838669885024156,-0.0880634923746047
2018-08-20,0.10274896842836419,0.09052441835479602,-0.11141404509773997,-0.09132169364943689
2018-08-21,0.10315884645621391,0.09037563274568106,-0.10876450017144115,-0.09111998111644826
2018-08-22,0.10193945814667639,0.08836014585248035,-0.10843284064554208,-0.09114360533096232
2018-08-23,0.10192086169653056,0.08829150647495297,-0.11055800360219692,-0.09165448778659793
2018-08-24,0.10412525785586753,0.09064835505491733,-0.10289053168168925,-0.08951607453356987
2018-08-27,0.10515818045395674,0.091852541472899,-0.10216443390433405,-0.09097819748022047
2018-08-28,0.10503988016872527,0.09189506891818461,-0.1052705982568449,-0.09258377055749725
2018-08-29,0.10452358858340355,0.09034909524247561,-0.10498961442163636,-0.0944220484845019
2018-08-30,0.10525735875604941,0.0912102977929314,-0.10422110490700809,-0.09473829252520995
2018-08-31,0.10414116016946767,0.08972072693135276,-0.10867169097303178,-0.09585951526960429
2018-09-04,0.10297565259745017,0.0887526077214138,-0.11167957676139417,-0.09557170730665722
2018-09-05,0.09840173323146727,0.08910764612038449,-0.10230802090630413,-0.07488454922611146
2018-09-06,0.09867417733174899,0.09107799412321531,-0.10109549764162183,-0.07360331958064674
2018-09-07,0.09891676254286098,0.09145205923785915,-0.10107652883522637,-0.07225406840335045
2018-09-10,0.09769965371828475,0.08626236223727674,-0.10212106897713152,-0.07548922007627415
2018-09-11,0.09958256822100474,0.08750945268736769,-0.10613867510530227,-0.07810404946632825
2018-09-12,0.09985670982361573,0.08755585352072133,-0.10521630929632708,-0.07879364670140218
2018-09-13,0.10088072867871173,0.08917342862776607,-0.11160713799571985,-0.08142178334602372
2018-09-14,0.10138558243048897,0.08247693058852329,-0.10308411642437175,-0.073225556658923
2018-09-17,0.10382268054932171,0.08483279734090206,-0.09895379994250493,-0.07520901280627043
2018-09-18,0.1035687555443567,0.0877536247263368,-0.08825606921043964,-0.06910314708207992
2018-09-19,0.10377310831353435,0.08801069249456003,-0.0871442248408065,-0.07016208587270407
2018-09-20,0.10458558792691293,0.08868635430198574,-0.08743699571275743,-0.06907904253513482
2018-09-21,0.10218996304809344,0.08404160926282135,-0.09647507492951209,-0.06972790973082961
2018-09-24,0.10298675842038152,0.08366241537841491,-0.09636706093321264,-0.06885228704276025
2018-09-25,0.10570884340157745,0.09029200169349791,-0.10799604540968795,-0.07511184672333626
2018-09-26,0.10552358965347132,0.09041752115303732,-0.11039951476641612,-0.07478953676711571
2018-09-27,0.10414901451884859,0.08784110656477692,-0.10499990858768476,-0.06178305794299095
2018-09-28,0.10423905333744084,0.08782283178903158,-0.10517758511246747,-0.06186922439499806
2018-10-01,0.10409795016885545,0.08805893187839647,-0.10546806585619058,-0.060488245219126525
2018-10-02,0.10256517235316143,0.0884699570985922,-0.10194503368008477,-0.05995307956234616
2018-10-03,0.10293755349663992,0.08867403608039803,-0.10118174192747399,-0.05627872399962215
2018-10-04,0.1022125121843732,0.08690087706354263,-0.10031652168177574,-0.05674348852556287
2018-10-05,0.10100935675844346,0.0852124306801361,-0.09904615834276356,-0.05608861284228517
2018-10-08,0.1011184244367705,0.08505624004557795,-0.09910195898941572,-0.055923948653129954
2018-10-09,0.1035636447080466,0.08664907976359763,-0.1091853302916515,-0.06009903866010671
2018-10-10,0.10355407224837955,0.08706423525235203,-0.1095418867815244,-0.05972597250389848
2018-10-11,0.11213133832153968,0.09111702339394019,-0.12175711444870037,-0.06708867673462654
2018-10-12,0.11490844823055123,0.09319315668557537,-0.12451068952723375,-0.07467730126550745
2018-10-15,0.11183536818845473,0.08800830883445862,-0.12366827994290737,-0.07808596440865123
2018-10-16,0.10989941244906871,0.08630004862477245,-0.122984315830647,-0.07806531562249691
2018-10-17,0.11000231159280163,0.08642399181520831,-0.12512941542031844,-0.07685620234031847
2018-10-18,0.11093044467140482,0.08750606077016895,-0.1255852152185933,-0.07736627080653807
2018-10-19,0.11100790864990759,0.08812886614678912,-0.12728285583939486,-0.07776283313744779
2018-10-22,0.109024120100452,0.08764820531876852,-0.12398633363658315,-0.07189883434900697
2018-10-23,0.10860893668164016,0.08709161202125107,-0.12372470819544248,-0.07165382190190017
2018-10-24,0.10679891250001523,0.08472765538004673,-0.12725965327177172,-0.07682900195859575
2018-10-25,0.10706089874934224,0.08343531829496614,-0.12737274370653914,-0.0745027542028118
2018-10-26,0.1063331151850249,0.08360634000506528,-0.125421085789444,-0.07360595123406297
2018-10-29,0.1090699083964436,0.09114579108762708,-0.12305373129523577,-0.07126550522971255
2018-10-30,0.11054416190195739,0.09023861732503749,-0.12463034388120779,-0.07871822888459773
2018-10-31,0.10954474386955522,0.08812452865867386,-0.12214489640705829,-0.0788910693686702
2018-11-01,0.10973702615246811,0.08893395989481068,-0.12207303987778649,-0.08158172963899875
2018-11-02,0.10973286918908515,0.0893716128499595,-0.12266948885668526,-0.08380549510199527
2018-11-05,0.10944093079860766,0.08844771832802381,-0.12195266584125916,-0.08422208852640135
2018-11-06,0.10993380785165778,0.08914487290190573,-0.11982807375954733,-0.08301996060809035
2018-11-07,0.11055864820127781,0.08981516843477545,-0.11923252046948592,-0.08382207912988077
2018-11-08,0.11046361832035041,0.08951967693898659,-0.12102014607635916,-0.08298013687759215
2018-11-09,0.10988166945546421,0.08899913470949335,-0.11674291675631296,-0.08528353739331591
2018-11-12,0.10945511753388712,0.08863243767657887,-0.12418457936281466,-0.10055773833655768
2018-11-13,0.10955687863180881,0.08868022658722473,-0.1240208365351435,-0.10028505582679598
2018-11-14,0.11466649114145404,0.09299691917889238,-0.13309129980124432,-0.10184808739251376
2018-11-15,0.11835378414549641,0.09479369769389247,-0.1330276076374045,-0.1175597902100718
2018-11-16,0.11368147152622918,0.09005092907782267,-0.13444208030685792,-0.11114069872609746
2018-11-19,0.12867446075805491,0.11160055654829454,-0.13198148112526756,-0.11310485149398918
2018-11-20,0.13938113989920103,0.12032048222459571,-0.12329259505162204,-0.1133844452928925
2018-11-21,0.14102632695582645,0.12272494577444339,-0.12212324129652836,-0.11278396756781287
2018-11-23,0.14381590338791844,0.1246543983128239,-0.12479597569844199,-0.11459802557811535
2018-11-26,0.12523156283522677,0.10562904743460994,-0.12196878334374006,-0.11009549453943795
2018-11-27,0.12981683004348088,0.10934027783479591,-0.1362176477800609,-0.1098285723958144
2018-11-28,0.14623141300507406,0.12790439767733874,-0.12927991963400357,-0.11602493468386348
2018-11-29,0.14599085668610237,0.12670114256577508,-0.13029962094328834,-0.11799668528395253
2018-11-30,0.14073503929545594,0.12256777642087223,-0.12598246158431176,-0.11927744760871227
2018-12-03,0.1392257309788541,0.12189122740995383,-0.13262220151325382,-0.1363923800079256
2018-12-04,0.13237516649388725,0.12054474449331086,-0.12876608231786027,-0.1310182732821154
2018-12-06,0.1335795003093308,0.1155959094490252,-0.12634207428186878,-0.13622463839415766
2018-12-07,0.14038338740679707,0.11744924925281777,-0.12701728559037853,-0.15041365326717868
2018-12-10,0.14160871135165246,0.12036399310649731,-0.09127952201803827,-0.12994841793170414
2018-12-11,0.14522844562352655,0.12219647792490856,-0.09140110968023607,-0.1302140389927975
2018-12-12,0.14549417166940098,0.12216261054988141,-0.08938377170135654,-0.13077908642816244
2018-12-13,0.14510590723920794,0.12243352721348469,-0.08852052050482907,-0.12918907220518117
2018-12-14,0.1467516364307929,0.12476464631052965,-0.08204373317646453,-0.12508082091784067
2018-12-17,0.129475770262293,0.10990503497429069,-0.07178216984900798,-0.1168834323135778
2018-12-18,0.1245959841300651,0.10711322231402799,-0.07253954970757084,-0.11701423412010581
2018-12-19,0.1181803592993679,0.10021844205583688,-0.07961105381858169,-0.10331980244663921
2018-12-20,0.10100265646040142,0.08793580479370525,-0.055552857253940366,-0.12037369393748147
2018-12-21,0.10864580953255795,0.09628435260326351,-0.05042650456645994,-0.13035677981161994
2018-12-24,0.09761328101068613,0.08847228165908451,-0.042000714985190785,-0.12330784815616663
2018-12-26,0.07476647088698404,0.06757896049687429,-0.0321719163726274,-0.1140063205369361
2018-12-27,0.07471873246428554,0.07323925542303875,-0.05330171443179779,-0.12380321253398845
2018-12-28,0.07372654545052232,0.07262152253394216,-0.048180678437925534,-0.11242451545958432
2018-12-31,0.07223876570020149,0.07127707490566182,-0.044266822277023686,-0.11580467815447026
2019-01-02,0.07278112905182899,0.07265538586462952,-0.04435678050151229,-0.11118270658564143
2019-01-03,0.07481907782735041,0.07377685493456246,-0.051641555031190875,-0.1107844287753458
2019-01-04,0.07499346344695568,0.07389269201506207,-0.051887580917768725,-0.11290497708034787
2019-01-07,0.07671060038993505,0.07656340352662926,-0.05172853580416683,-0.11460757076500992
2019-01-08,0.07182343245441268,0.07102077010872959,-0.05102944818574331,-0.11140414094342793
2019-01-09,0.07484470474371034,0.07493404094691596,-0.05125067294351156,-0.11416419707586507
2019-01-10,0.07273101683310614,0.07321374787112282,-0.04637987701357827,-0.11317725814888548
2019-01-11,0.07314318600934348,0.07354204786719024,-0.04728484534642828,-0.11227119257665408
2019-01-14,0.07911042974386034,0.07760048275165973,-0.04275042332806136,-0.10782180684730126
2019-01-15,0.07528970092550617,0.07374193234127364,-0.05078134652250877,-0.10824378939818524
2019-01-16,0.07309868304828619,0.0727965680393454,-0.0472306601014809,-0.10033550030200074
2019-01-17,0.07550683608962627,0.07475246862252696,-0.05019024271818056,-0.1007979380866233
2019-01-18,0.07548020271902468,0.07460632962657188,-0.04888418619516,-0.09702415707311587
2019-01-22,0.0759101008978867,0.07538040952712198,-0.05047994440844748,-0.09686158807473091
2019-01-23,0.07974380889499406,0.07910357058558996,-0.049051589288774386,-0.09635586776190168
2019-01-24,0.07983058660216415,0.07953133237388822,-0.049090056276257385,-0.09530071561571352
2019-01-25,0.0802242781389653,0.08172533493250839,-0.0569759938374522,-0.09179262124926911
2019-01-28,0.08200281844930685,0.08388010334059262,-0.0591959917036583,-0.09091415853979931
2019-01-29,0.08260222398693434,0.08452993825495494,-0.05927324539389271,-0.09130492081437035
2019-01-30,0.08491519078907246,0.08666034632614328,-0.05687142235840798,-0.09017704256757662
2019-01-31,0.07721350140168118,0.08199356168355441,-0.06383296266421905,-0.10075745197559897
2019-02-01,0.07720624295540791,0.0813437121098183,-0.06574995194392516,-0.10314512705830033
2019-02-04,0.07671778887916042,0.07657051834067538,-0.061102883243234915,-0.1276272173256906
2019-02-05,0.07148496982843265,0.07299438359793324,-0.06813868003359735,-0.13302599011979996
2019-02-06,0.00017636132546332465,0.024638671949074067,-0.06143404556436273,-0.10796460458153682
2019-02-07,-0.019984555172502274,0.005474942064898462,-0.04352598212698449,-0.09737806050200232
2019-02-08,-0.019831043683309367,0.00502974866092558,-0.039493478367570396,-0.09410394005675055
2019-02-11,0.009487754518895997,0.02965486562930587,-0.041669074892082124,-0.0926812304639291
2019-02-12,0.0019231507165158234,0.023526900161567374,-0.04013391116511696,-0.08684641010475133
2019-02-13,-0.0013982248613281878,0.020797534153610134,-0.041846507265645407,-0.08841474779504602
2019-02-14,-0.0006597240202791201,0.021903827345356734,-0.03894290124928774,-0.08614810488997521
2019-02-15,-0.01361415674302443,0.009027582508026849,-0.06961429770836125,-0.06693667299502773
2019-02-19,-0.020961058090317848,0.0009371920493502355,-0.04704437449107121,-0.06703177112786775
2019-02-20,-0.020686922240938443,0.0011933074769757647,-0.047003638237212646,-0.06881149496644609
2019-02-21,-0.013484626391613972,5.677885098625927e-05,-0.020546228252708573,-0.05890555532732406
2019-02-22,-0.015572853723753869,-0.00043936940596774374,-0.024161099564088392,-0.07109357082760864
2019-02-25,-0.015313169435024889,-0.0012704551287437236,-0.018656743237913345,-0.06679806368704211
2019-02-26,-0.02032387673030683,-0.005891548865180945,-0.018117525101636472,-0.07248148676624452
2019-02-27,-0.0214405194288446,-0.006778991155791391,-0.01872438329799482,-0.07235124202751524
2019-02-28,-0.01696130693530049,-0.0035262296082011965,-0.012677429920641995,-0.07160254042832358
2019-03-01,-0.019507680476413703,-0.0046101836891076714,-0.014164509149466082,-0.06918307686174517
2019-03-04,-0.010563997593587551,0.00204292995384028,-0.011282836309078113,-0.07905818087637623
2019-03-05,-0.011939087620743393,0.0011679354876669343,-0.011788374754079421,-0.07559252870668408
2019-03-06,-0.01761994201804391,-0.0026779070002753936,-0.010662744912786959,-0.07301879866918277
2019-03-07,-0.016615805834035654,-0.0013036632135239262,0.0010082218738524387,-0.07179565282257624
2019-03-08,-0.017111374556122175,-0.00021540004458099382,-0.006534608341720565,-0.07391215841130602
2019-03-11,-0.014023886847324874,0.0024200406289585203,-0.00897094450406519,-0.06907663801501518
2019-03-12,-0.013374271307857523,0.0030421950080540714,-0.008515241903606125,-0.0690470291422545
2019-03-13,-0.013397370935778037,0.003573124687326953,-0.008246423665177359,-0.06809909109456995
2019-03-14,-0.013366739065316113,0.0036301089423101435,-0.009595513190869863,-0.06904428002064494
2019-03-15,-0.018306735250875016,0.0041262322335621025,-0.009710184732332013,-0.053175004389097565
2019-03-18,-0.017519116033604575,0.0044819409334930305,-0.008890084574277847,-0.05340413966008916
2019-03-19,-0.017573246623971923,0.00489960503018912,-0.0080765072694264,-0.053483600804559765
2019-03-20,-0.01263059872764769,0.011014979979312828,-0.008765124537368331,-0.049830231044099525
2019-03-21,-0.014456246175552606,0.008948391978533976,-0.005329949801689846,-0.04764584607792207
2019-03-22,-0.014469868122649443,0.008876583203366347,-0.006621094970007574,-0.04673746772433329
2019-03-25,-0.0197353098306015,0.005448375259369548,-0.009622047661210192,-0.043816991354453175
2019-03-26,-0.01489611056949243,0.009655661071385815,-0.014779261865654572,-0.04361318933437347
2019-03-27,0.004006772781201509,0.028629023966704085,-0.010546928626991378,-0.04471912068087645
2019-03-28,-0.004183229613728334,0.01796117991196838,-0.01443205597905061,-0.03690858695307486
2019-03-29,-0.002987445677966915,0.020082451196194902,-0.010291808961732145,-0.03788316742029539
2019-04-01,0.011946438037133444,0.035353714623973874,-0.010501771879426422,-0.03399341667537305
2019-04-02,0.009183923256848291,0.03602836238986438,0.003323900440035673,-0.027284874953449972
2019-04-03,0.0025501180495307416,0.032690959434975825,0.009647296208263186,-0.023000180295876974
2019-04-04,0.01107496701880621,0.0423423231553756,0.011102538270464292,-0.02688071708250633
2019-04-05,0.012629253256321995,0.043344746381683126,0.010229117830680028,-0.027296140107603492
2019-04-08,0.006662248732916482,0.039234642275211666,0.016177698731831437,-0.025944815854688504
2019-04-09,0.006652812976340329,0.03878832776631643,0.013482229594934812,-0.02730399290611897
2019-04-10,0.005801320845396932,0.03819133919910087,0.01433149102587439,-0.02601877375809423
2019-04-11,0.007401069882215605,0.0402380431543086,0.021987463454914234,-0.021843896754048953
2019-04-12,-0.0034009139473687566,0.029489781410585236,0.04941752567706443,-0.00490378277769303
2019-04-15,-0.0032893287681820442,0.029600867304675336,0.04941803387554048,-0.005120432006557506
2019-04-16,-0.0050688195315719995,0.02914990206863134,0.04328424937900871,-0.0091718129857853
2019-04-17,-0.003106448325695811,0.032465083870763994,0.043554222504006486,-0.00829713485722121
2019-04-18,-0.0030700250087505195,0.03217316333449469,0.04318382437046179,-0.002345510836864075
2019-04-22,-0.0018473066079043668,0.03388173573116302,0.043780641538134456,-0.0015869586617490758
2019-04-23,0.008019243955782678,0.04620393315328028,0.05186740184943634,0.008837469510857256
2019-04-24,0.008639288548736322,0.04703642690974416,0.05250661096920455,0.0061785610836708965
2019-04-25,0.02308436255311521,0.06203724472606053,0.04434909226113038,0.015562639940485748
2019-04-26,0.025904022317348292,0.06292560056471859,0.036672966564262395,0.0052340781387267745
2019-04-29,0.02039797929746672,0.05493915659442463,0.04027889510866242,-0.0005570563809133882
2019-04-30,0.020560946062914632,0.05340821287493753,0.04394786756379297,0.005626379110347994
2019-05-01,0.02234738192185854,0.05505083949181949,0.04655037382971173,0.005605590434530547
2019-05-02,0.021886462170590926,0.055278079544375705,0.04375499467299813,0.0027925002818168032
2019-05-03,0.028151241626988684,0.06188638953409421,0.04897157588789389,0.005500427644352355
2019-05-06,0.030182937933521253,0.06268649987405303,0.043879687080995,0.0009595827485387693
2019-05-07,0.027413971192824908,0.0604515809659528,0.04494695481082082,0.003211668635131707
2019-05-08,0.027962495604410286,0.061890539609134126,0.04396157103328617,-0.0003592483012420914
2019-05-09,0.02655539522582831,0.05998715526589638,0.04545660782195539,0.0016749646222268002
2019-05-10,0.027222562016029638,0.05926492305680862,0.046999596767772135,0.0018578272741115577
2019-05-13,-0.03252393046170191,-0.003298360974828067,0.08657284951311042,0.03559737472697794
2019-05-14,-0.028557752041507886,-0.002137421061121106,0.08480251475406007,0.03704884241870383
2019-05-15,-0.02709405172123092,0.00024774657913472913,0.08689208913515774,0.04290395998915717
2019-05-16,-0.032616822936333924,-0.004766743485720779,0.08600033178529783,0.04073180016382301
2019-05-17,-0.026797530616796624,0.001638511458113575,0.09315237441957495,0.03704030470259323
2019-05-20,-0.03313964703445858,-0.010564525293597263,0.09271090351537567,0.029820416824877627
2019-05-21,-0.03279110467854296,-0.00997359617363386,0.09267890140784174,0.027339778601004935
2019-05-22,-0.03299550755434151,-0.009412629728844477,0.09293981274264178,0.02382816653739646
2019-05-23,-0.03771766987385435,-0.012985928316697613,0.09574690581957587,0.027000591643161587
2019-05-24,-0.036037831004993984,-0.009415975472639336,0.09753037794501382,0.034631099606172305
2019-05-28,-0.0444410610202572,-0.012046703012669215,0.09064088454730718,0.044663966333155614
2019-05-29,-0.04423344434317488,-0.011432087691748713,0.08986386598444929,0.04594470440324135
2019-05-30,-0.04559287631625619,-0.012669612128495296,0.08477944629910666,0.04195759301841294
2019-05-31,-0.048297508915528045,-0.015623941885619587,0.09065681248844792,0.04670257191050455
2019-06-03,-0.046320637206211976,-0.008299916216423052,0.0794690301357027,0.042041850000321505
2019-06-04,-0.05979973420236783,-0.021423298608942012,0.0794201886839032,0.055024480574526385
2019-06-05,-0.05830475804823652,-0.020387877541611685,0.0798678180042869,0.05295777774253252
2019-06-06,-0.05842179196827339,-0.020767048554602582,0.07891710017221444,0.05240564850812316
2019-06-07,-0.05577134724667978,-0.016962085510125076,0.08116643172051134,0.056561950720700555
2019-06-10,-0.05601826557076082,-0.01734562997768869,0.08178059868399624,0.05727539862437883
2019-06-11,-0.055756721959595724,-0.017435402932110242,0.08213010514285929,0.05680877747977848
2019-06-12,-0.05583248299894622,-0.017115362319668568,0.08769966755097605,0.053618181754233205
2019-06-13,-0.05511154453260775,-0.015034497492703506,0.08595923827414147,0.053998837691682254
2019-06-14,-0.057100765986106014,-0.016893260783328708,0.08718509774691677,0.05516524557111047
2019-06-17,-0.057982847635478986,-0.017449528684556286,0.08493000621264565,0.04995555020967726
2019-06-18,-0.061318158731698005,-0.0212516177555649,0.0742900972705473,0.04795475739545145
2019-06-19,-0.060050847934259736,-0.02053780383605465,0.07755499392870123,0.04938244323512636
2019-06-20,-0.05742977291412219,-0.018798586663624762,0.08515645649982825,0.050087983866838576
2019-06-21,-0.058299560307637964,-0.01949657565234578,0.09081745538902292,0.036823301996711896
2019-06-24,-0.059854057989677086,-0.020182358304367768,0.10747662862699339,0.047342064815700344
2019-06-25,-0.0656019127071711,-0.03063862684006575,0.11280020419759179,0.04969253963623661
2019-06-26,-0.06320303676820546,-0.02352825936765808,0.09771782732763433,0.036294387141831676
2019-06-27,-0.0656915542092262,-0.02567968313439141,0.09629063453074596,0.019807753874719374
2019-06-28,-0.05953615371222646,-0.024145782853214094,0.09947223486730623,0.016572156342178977
2019-07-01,-0.06820894206112671,-0.034362638897961525,0.13609986579051261,0.022932411608709968
2019-07-02,-0.06846884246722625,-0.03476752345221383,0.1365286455808691,0.02821568374926028
2019-07-03,-0.06147335186872916,-0.03211059734402157,0.14686209904501693,0.040387046754678725
2019-07-05,-0.06034122571680491,-0.031744598396547044,0.16151670308757732,0.05962408997045759
2019-07-08,-0.0669030635775521,-0.03819306223878317,0.1476061581665408,0.06000316923506409
2019-07-09,-0.066945370080758,-0.037836105158673014,0.14840300188449743,0.059676345517061476
2019-07-10,-0.06894704672083123,-0.04046675372672433,0.13881376564518164,0.06379652065105258
2019-07-11,-0.06825230864523932,-0.03978505766695351,0.1445470871137554,0.07727192568579573
2019-07-12,-0.06636318351306207,-0.03819399219516873,0.14893522116579894,0.07730249601351892
2019-07-15,-0.06370252790813542,-0.03632867918304266,0.15019323429236175,0.06978374162236874
2019-07-16,-0.05824770392176691,-0.030901819081100967,0.16295497795836913,0.07539407098130405
2019-07-17,-0.05890968192998663,-0.03033900474308042,0.16725338146358057,0.08398211341825935
2019-07-18,-0.058628503939987954,-0.032876676086256634,0.19619468832758055,0.08619121055276864
2019-07-19,-0.05783194199908182,-0.032027691341036287,0.19715099520134857,0.0871678937568765
2019-07-22,-0.057817719890931346,-0.03262838453713228,0.19817437669682955,0.08591479279034137
2019-07-23,-0.06064999782256547,-0.03441637818525096,0.2027709778928846,0.08712133817443164
2019-07-24,-0.06178154575048638,-0.03576365684577327,0.20583919412792998,0.09662156011699445
2019-07-25,-0.06646857502388696,-0.038732757172757364,0.20637221952011583,0.09244479080240144
2019-07-26,-0.06463916708987126,-0.036475292680127905,0.20865237324847136,0.09137125922914534
2019-07-29,-0.06460846823170079,-0.03865019795961797,0.2026288897619146,0.09035091766696121
2019-07-30,-0.06326181179276835,-0.03668185554199873,0.2029792549550904,0.09015887085411596
2019-07-31,-0.06790970312219136,-0.04108633246048637,0.19238806342834736,0.09531238733072936
2019-08-01,-0.06820453059295604,-0.03979354638107131,0.19844443664867972,0.10574991825805215
2019-08-02,-0.06919479844125351,-0.04012295045727667,0.1961073203382358,0.10404201128846756
2019-08-05,-0.098394758963163,-0.06546552500881435,0.2113668581056198,0.13036683023828202
2019-08-06,-0.10096175875630009,-0.06761757261151718,0.2087555344871644,0.12805703354853823
2019-08-07,-0.09908039237844501,-0.06411437341135495,0.20958776384966266,0.12805126702762715
2019-08-08,-0.09778747135982609,-0.06333902872754579,0.21015129209461872,0.12559013941805067
2019-08-09,-0.09777976616453654,-0.06238789982825591,0.21327920081235122,0.1268335609223772
2019-08-12,-0.09220000459963137,-0.05881023885804666,0.20887774278746649,0.10730106306851296
2019-08-13,-0.10184619718262497,-0.06807415628033024,0.21172865745582173,0.11626607912776693
2019-08-14,-0.07865488228153797,-0.05172061990140519,0.2094314809010757,0.08860833762159218
